ID,Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,For how many years have you used machine learning methods?,Which of the following ML model hubs/repositories do you use most often? - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,"Approximately how much money have you spent on machine learning and/or cloud computing services at home or at work in the past 5 years (approximate $USD)?
 (approximate $USD)?","Of the cloud platforms that you are familiar with, which has the best developer experience (most enjoyable to use)? - Selected Choice",Approximately how many times have you used a TPU (tensor processing unit)?
9336,521,25-29,Man,India,No,No,5-10 years,2-3 years,,Machine Learning/ MLops Engineer,Medical/Pharmaceutical,"10,000 or more employees",1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",$100-$999,,Never
9337,4108,35-39,Prefer not to say,Australia,No,Yes,3-5 years,4-5 years,,Data Scientist,Computers/Technology,"1000-9,999 employees",5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",$0 ($USD),,
9338,334,22-24,Man,Ghana,Yes,No,I have never written code,,,,,,,,,,,
9339,286,22-24,Man,India,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
9340,364,18-21,Woman,India,Yes,No,3-5 years,1-2 years,,,,,,,,,,
9341,448,40-44,Nonbinary,United Kingdom of Great Britain and Northern Ireland,No,No,1-3 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"1000-9,999 employees",20+,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$0 ($USD),,
9342,258,25-29,Man,India,No,,I have never written code,,,Engineer (non-software),Computers/Technology,"10,000 or more employees",1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,,
9343,738,50-54,Man,India,No,,1-3 years,Under 1 year,,Other,Manufacturing/Fabrication,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"7,500-9,999","$1000-$9,999", Amazon Web Services (AWS) ,Never
9344,237,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9345,828,55-59,Man,Mexico,No,No,20+ years,5-10 years,,Teacher / professor,Academics/Education,50-249 employees,1-2,No (we do not use ML methods),"1,000-1,999",$0 ($USD),,
9346,611,60-69,Man,Netherlands,No,,20+ years,3-4 years,,Teacher / professor,Academics/Education,50-249 employees,3-4,We are exploring ML methods (and may one day put a model into production),"70,000-79,999","$10,000-$99,999",,Never
9347,799,60-69,Man,India,No,No,20+ years,1-2 years, Kaggle datasets ,Teacher / professor,Computers/Technology,0-49 employees,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","250,000-299,999","$10,000-$99,999", Google Cloud Platform (GCP) ,2-5 times
9348,295,18-21,Man,Pakistan,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9349,559,22-24,Woman,India,Yes,No,1-3 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
9350,372,30-34,Woman,Viet Nam,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9351,261,18-21,Woman,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9352,196,22-24,Man,Pakistan,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
9353,126296,18-21,Man,India,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
9354,375,22-24,Man,India,Yes,No,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
9355,634,40-44,Man,South Africa,No,,< 1 years,I do not use machine learning methods,,Data Administrator,Government/Public Service,250-999 employees,0,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",$0 ($USD),,
9356,316,18-21,Woman,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9357,866,45-49,Man,Japan,No,Yes,5-10 years,Under 1 year,,"Manager (Program, Project, Operations, Executive-level, etc)",Other,250-999 employees,1-2,No (we do not use ML methods),,$0 ($USD),,
9358,290,22-24,Man,Pakistan,Yes,No,1-3 years,Under 1 year, Kaggle datasets ,,,,,,,,,
9359,255,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
9360,592,25-29,Man,India,No,,1-3 years,,,,,,,,,,,
9361,355,30-34,Man,Zimbabwe,No,,10-20 years,1-2 years,,Engineer (non-software),Online Service/Internet-based Services,250-999 employees,10-14,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$0 ($USD),,
9362,22179,18-21,Man,Pakistan,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9363,347,18-21,Woman,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
9364,432,25-29,Man,Bangladesh,Yes,Yes,1-3 years,1-2 years,,,,,,,,,,
9365,181,40-44,Man,United States of America,No,Yes,< 1 years,Under 1 year,,Currently not employed,,,,,,,,
9366,837,40-44,Man,Nigeria,Yes,Yes,1-3 years,1-2 years,,,,,,,,,,
9367,171,25-29,Man,South Korea,Yes,Yes,3-5 years,1-2 years, Timm ,,,,,,,,,
9368,606,22-24,Man,Pakistan,Yes,Yes,5-10 years,2-3 years,,,,,,,,,,
9369,4999,22-24,Man,Indonesia,No,No,3-5 years,2-3 years, PyTorch Hub ,Data Scientist,Computers/Technology,50-249 employees,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","$1000-$9,999",,Never
9370,683,25-29,Woman,India,No,Yes,< 1 years,Under 1 year,,Data Scientist,Academics/Education,0-49 employees,3-4,We are exploring ML methods (and may one day put a model into production),,,,
9371,589,30-34,Man,Russia,No,,1-3 years,1-2 years, PyTorch Hub ,Machine Learning/ MLops Engineer,Retail/Sales,"10,000 or more employees",1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",$1-$99,,Never
9372,354,22-24,Man,India,Yes,,3-5 years,Under 1 year,,,,,,,,,,
9373,698,45-49,Man,United States of America,No,Yes,1-3 years,1-2 years,,Other,Accounting/Finance,"10,000 or more employees",20+,We are exploring ML methods (and may one day put a model into production),"125,000-149,999","$10,000-$99,999",,Never
9374,316,22-24,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9375,3337,30-34,Man,Pakistan,No,No,3-5 years,1-2 years, Kaggle datasets ,Currently not employed,,,,,,,,
9376,875,18-21,Woman,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9377,268,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9378,420,18-21,Man,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
9379,15933,25-29,Man,Viet Nam,No,No,3-5 years,,,,,,,,,,,
9380,459,45-49,Man,Saudi Arabia,No,No,10-20 years,I do not use machine learning methods,,Software Engineer,Computers/Technology,"1000-9,999 employees",5-9,I do not know,"100,000-124,999",$100-$999, Amazon Web Services (AWS) ,
9381,325,25-29,Man,South Africa,Yes,Yes,10-20 years,3-4 years, Kaggle datasets ,,,,,,,,,
9382,277,22-24,Man,India,Yes,Yes,1-3 years,Under 1 year,,,,,,,,,,
9383,1157,55-59,Man,Spain,No,No,20+ years,10-20 years, Kaggle datasets ,Data Scientist,Academics/Education,0-49 employees,1-2,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999","$10,000-$99,999",,2-5 times
9384,191328,25-29,Man,Germany,Yes,Yes,5-10 years,I do not use machine learning methods,,,,,,,,,,
9385,1402,40-44,Man,Other,No,,1-3 years,Under 1 year,,Software Engineer,Online Service/Internet-based Services,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,$1-$99,,Never
9386,342,18-21,Man,Peru,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9387,601,40-44,Man,Argentina,No,,< 1 years,3-4 years,,Engineer (non-software),Manufacturing/Fabrication,250-999 employees,1-2,No (we do not use ML methods),"2,000-2,999",$100-$999,,Never
9388,437,25-29,Man,Bangladesh,No,Yes,1-3 years,Under 1 year,,"Manager (Program, Project, Operations, Executive-level, etc)",Energy/Mining,0-49 employees,0,No (we do not use ML methods),"7,500-9,999",$0 ($USD),,
9389,281,30-34,Woman,Portugal,No,No,< 1 years,I do not use machine learning methods,,Engineer (non-software),Manufacturing/Fabrication,250-999 employees,0,No (we do not use ML methods),"15,000-19,999",$1-$99,,
9390,362,18-21,Man,Egypt,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
9391,596,25-29,Woman,India,No,No,3-5 years,Under 1 year,,Data Engineer,Accounting/Finance,"10,000 or more employees",20+,No (we do not use ML methods),"125,000-149,999",$1-$99,,Never
9392,295,40-44,Man,Australia,No,Yes,1-3 years,Under 1 year,,Currently not employed,,,,,,,,
9393,136,25-29,Woman,Other,No,,1-3 years,,,,,,,,,,,
9394,773,30-34,Woman,Ireland,No,Yes,1-3 years,Under 1 year,,Data Scientist,Accounting/Finance,"1000-9,999 employees",15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",$1-$99,,Once
9395,988154,18-21,Man,India,Yes,,,,,,,,,,,,,
9396,1207,35-39,Man,United States of America,No,No,5-10 years,3-4 years,,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",$1-$99,,Never
9397,160,22-24,Woman,India,Yes,Yes,I have never written code,,,,,,,,,,,
9398,774,22-24,Man,India,Yes,No,3-5 years,1-2 years,,,,,,,,,,
9399,122,18-21,Man,Ukraine,Yes,,1-3 years,,,,,,,,,,,
9400,555,45-49,Man,United States of America,No,No,5-10 years,4-5 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Insurance/Risk Assessment,"1000-9,999 employees",3-4,We use ML methods for generating insights (but do not put working models into production),"300,000-499,999","$1000-$9,999",,Never
9401,1087,55-59,Man,Pakistan,No,Yes,20+ years,5-10 years,,Teacher / professor,Academics/Education,"1000-9,999 employees",5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",$100-$999,,Once
9402,490,30-34,Man,United States of America,No,,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,0-49 employees,1-2,No (we do not use ML methods),"80,000-89,999",$100-$999,,
9403,303,25-29,Man,Turkey,Yes,,1-3 years,Under 1 year,,,,,,,,,,
9404,199,40-44,Woman,United States of America,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
9405,209,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
9406,295,25-29,Woman,India,Yes,Yes,< 1 years,I do not use machine learning methods,,,,,,,,,,
9407,345,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
9408,170,18-21,Man,India,Yes,No,< 1 years,,,,,,,,,,,
9409,555,35-39,Man,Other,Yes,Yes,3-5 years,2-3 years,,,,,,,,,,
9410,1174,25-29,Man,India,No,,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000 or more employees",5-9,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",$1-$99,,Never
9411,123,22-24,Man,Nigeria,Yes,,I have never written code,,,,,,,,,,,
9412,747,30-34,Man,Australia,Yes,No,1-3 years,2-3 years,,,,,,,,,,
9413,371,18-21,Man,India,Yes,,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
9414,168,25-29,Man,India,No,,3-5 years,Under 1 year,,,,,,,,,,
9415,1326,30-34,Man,Ghana,No,No,1-3 years,2-3 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,250-999 employees,5-9,No (we do not use ML methods),$0-999,$100-$999, Microsoft Azure ,6-25 times
9416,186,18-21,Man,India,No,No,< 1 years,Under 1 year,,,,,,,,,,
9417,477,18-21,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
9418,409,25-29,Man,Brazil,Yes,Yes,5-10 years,1-2 years,,,,,,,,,,
9419,527,40-44,Man,South Korea,Yes,,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
9420,228,22-24,Man,Indonesia,No,,3-5 years,1-2 years,,Software Engineer,Academics/Education,50-249 employees,0,No (we do not use ML methods),$0-999,$0 ($USD),,
9421,427,18-21,Man,Nigeria,Yes,,1-3 years,1-2 years,,,,,,,,,,
9422,125,18-21,Man,India,Yes,,1-3 years,,,,,,,,,,,
9423,40588,40-44,Man,United States of America,No,No,10-20 years,3-4 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Other,"1000-9,999 employees",20+,No (we do not use ML methods),,,,
9424,506,18-21,Man,Pakistan,No,,< 1 years,1-2 years,,Currently not employed,,,,,,,,
9425,3543,40-44,Woman,India,No,No,5-10 years,Under 1 year,,Teacher / professor,Academics/Education,50-249 employees,5-9,No (we do not use ML methods),"4,000-4,999","$1000-$9,999",,Never
9426,1737,25-29,Man,China,No,,3-5 years,1-2 years,,Teacher / professor,Computers/Technology,250-999 employees,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$1-$99,,Never
9427,1342,40-44,Man,Bangladesh,No,,20+ years,2-3 years,,Statistician,Manufacturing/Fabrication,"10,000 or more employees",5-9,We use ML methods for generating insights (but do not put working models into production),"4,000-4,999","$10,000-$99,999",,Never
9428,303,50-54,Man,Mexico,Yes,Yes,20+ years,1-2 years,,,,,,,,,,
9429,477,30-34,Man,Viet Nam,No,Yes,5-10 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,50-249 employees,1-2,I do not know,"5,000-7,499",$0 ($USD),,
9430,702,25-29,Man,Philippines,No,Yes,3-5 years,2-3 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"1000-9,999 employees",3-4,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",$0 ($USD),,
9431,469,35-39,Man,Brazil,No,,,,,,,,,,,,,
9432,2132,18-21,Man,Pakistan,Yes,No,3-5 years,1-2 years, Jumpstart ,,,,,,,,,
9433,556,35-39,Man,India,No,No,1-3 years,Under 1 year,,Currently not employed,,,,,,,,
9434,122,18-21,Man,Nigeria,Yes,,I have never written code,,,,,,,,,,,
9435,271,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9436,446,25-29,Man,United States of America,No,,1-3 years,1-2 years,,Data Scientist,Non-profit/Service,0-49 employees,0,No (we do not use ML methods),"25,000-29,999",$0 ($USD),,
9437,2066,50-54,Man,United States of America,No,Yes,10-20 years,10-20 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Medical/Pharmaceutical,"10,000 or more employees",20+,We use ML methods for generating insights (but do not put working models into production),"200,000-249,999","$1000-$9,999",Other,Never
9438,243,18-21,Man,India,Yes,,1-3 years,,,,,,,,,,,
9439,459,22-24,Woman,Egypt,No,,1-3 years,Under 1 year,,Machine Learning/ MLops Engineer,Other,0-49 employees,0,No (we do not use ML methods),,,,
9440,378,18-21,Man,Nigeria,Yes,,1-3 years,1-2 years,,,,,,,,,,
9441,515,22-24,Man,Other,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9442,959,22-24,Man,India,Yes,Yes,< 1 years,I do not use machine learning methods,,,,,,,,,,
9443,138,22-24,Man,India,Yes,,I have never written code,,,,,,,,,,,
9444,807,70+,Man,United States of America,No,No,20+ years,3-4 years, Kaggle datasets ,"Manager (Program, Project, Operations, Executive-level, etc)",Insurance/Risk Assessment,250-999 employees,3-4,No (we do not use ML methods),"150,000-199,999","$1000-$9,999", Amazon Web Services (AWS) ,6-25 times
9445,147,18-21,Woman,India,No,No,< 1 years,,,,,,,,,,,
9446,581,30-34,Man,India,No,Yes,3-5 years,3-4 years, Kaggle datasets ,Machine Learning/ MLops Engineer,Academics/Education,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),,,,
9447,759,35-39,Man,Taiwan,No,,10-20 years,3-4 years,,Software Engineer,Manufacturing/Fabrication,"1000-9,999 employees",10-14,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$0 ($USD),,
9448,337,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9449,227,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Yes,No,5-10 years,Under 1 year,,,,,,,,,,
9450,1005,25-29,Woman,Ethiopia,No,,< 1 years,I do not use machine learning methods,,Data Engineer,Government/Public Service,"1000-9,999 employees",0,I do not know,$0-999,$0 ($USD),,
9451,302,25-29,Man,China,No,,< 1 years,1-2 years,,Machine Learning/ MLops Engineer,Computers/Technology,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),,$1-$99,,2-5 times
9452,616,45-49,Man,India,No,No,10-20 years,1-2 years,,Software Engineer,Computers/Technology,0-49 employees,1-2,I do not know,"4,000-4,999",$0 ($USD),,
9453,1485,55-59,Man,Brazil,No,Yes,20+ years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999","$1000-$9,999",They all had a similarly enjoyable developer experience,More than 25 times
9454,1515,30-34,Man,Other,No,Yes,1-3 years,Under 1 year, Kaggle datasets ,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,250-999 employees,5-9,No (we do not use ML methods),"1,000-1,999",$100-$999, Amazon Web Services (AWS) ,2-5 times
9455,312,50-54,Man,Poland,No,No,1-3 years,1-2 years,,Currently not employed,,,,,,,,
9456,309,35-39,Man,India,No,,10-20 years,10-20 years,,Data Scientist,Accounting/Finance,0-49 employees,3-4,No (we do not use ML methods),,,,
9457,491,22-24,Man,India,No,No,5-10 years,2-3 years,,Software Engineer,Computers/Technology,"10,000 or more employees",0,No (we do not use ML methods),"1,000-1,999",$100-$999,,2-5 times
9458,590,25-29,Woman,Bangladesh,Yes,,3-5 years,1-2 years,,,,,,,,,,
9459,305,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9460,462,25-29,Man,Spain,No,No,5-10 years,2-3 years,,Data Scientist,Computers/Technology,"10,000 or more employees",3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$0 ($USD),,
9461,2310,40-44,Woman,Turkey,No,,I have never written code,,,Currently not employed,,,,,,,,
9462,160,18-21,Man,Ukraine,Yes,,3-5 years,Under 1 year,,,,,,,,,,
9463,430,25-29,Woman,India,No,,1-3 years,I do not use machine learning methods,,Teacher / professor,Computers/Technology,50-249 employees,0,No (we do not use ML methods),$0-999,$0 ($USD),,
9464,326,18-21,Woman,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
9465,1295,50-54,Man,France,No,Yes,3-5 years,3-4 years, Kaggle datasets ,Data Scientist,Non-profit/Service,250-999 employees,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",$100-$999,,Never
9466,521,30-34,Man,Brazil,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9467,650,25-29,Man,India,No,,5-10 years,4-5 years,,Machine Learning/ MLops Engineer,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",$100-$999,They all had a similarly enjoyable developer experience,6-25 times
9468,150,25-29,Woman,Indonesia,Yes,Yes,I have never written code,,,,,,,,,,,
9469,398,18-21,Woman,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9470,233,18-21,Man,India,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
9471,590,22-24,Man,Bangladesh,Yes,Yes,3-5 years,2-3 years, Kaggle datasets ,,,,,,,,,
9472,469,45-49,Man,United Kingdom of Great Britain and Northern Ireland,No,,20+ years,5-10 years,,Software Engineer,Other,0-49 employees,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",$100-$999,,More than 25 times
9473,157,22-24,Man,United States of America,Yes,No,5-10 years,2-3 years,,,,,,,,,,
9474,386,55-59,Prefer not to say,Australia,Yes,Yes,20+ years,5-10 years, PyTorch Hub ,,,,,,,,,
9475,304,25-29,Man,India,No,No,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000 or more employees",0,No (we do not use ML methods),"5,000-7,499",$100-$999,,
9476,937,30-34,Man,Taiwan,No,,5-10 years,5-10 years,,Data Engineer,Other,250-999 employees,5-9,I do not know,"30,000-39,999","$1000-$9,999", Google Cloud Platform (GCP) ,Never
9477,298,40-44,Man,India,Yes,Yes,1-3 years,I do not use machine learning methods,,,,,,,,,,
9478,404,25-29,Woman,Canada,No,No,1-3 years,Under 1 year,,Currently not employed,,,,,,,,
9479,120,30-34,Woman,United States of America,Yes,No,I have never written code,,,,,,,,,,,
9480,292,30-34,Man,Nigeria,Yes,,I have never written code,,,,,,,,,,,
9481,528,22-24,Woman,Pakistan,Yes,,< 1 years,Under 1 year,,,,,,,,,,
9482,364,22-24,Woman,Nigeria,Yes,Yes,I have never written code,,,,,,,,,,,
9483,520,22-24,Man,Bangladesh,Yes,,1-3 years,Under 1 year,,,,,,,,,,
9484,150937,30-34,Man,United States of America,No,Yes,5-10 years,4-5 years,,Research Scientist,Medical/Pharmaceutical,0-49 employees,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$10,000-$99,999",,Never
9485,864,45-49,Man,United States of America,No,No,10-20 years,10-20 years,,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees",10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","$10,000-$99,999",,2-5 times
9486,896,22-24,Woman,Nigeria,No,Yes,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,50-249 employees,20+,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,,Never
9487,182,18-21,Prefer not to say,India,Yes,,I have never written code,,,,,,,,,,,
9488,436,35-39,Man,Nigeria,Yes,,1-3 years,Under 1 year,,,,,,,,,,
9489,959,30-34,Man,Ethiopia,No,No,3-5 years,1-2 years,,Machine Learning/ MLops Engineer,Online Service/Internet-based Services,250-999 employees,1-2,No (we do not use ML methods),$0-999,$0 ($USD),,
9490,637,25-29,Man,Morocco,No,No,1-3 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$0 ($USD),,
9491,232,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
9492,486,22-24,Woman,Nigeria,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9493,1160,30-34,Woman,India,No,No,1-3 years,1-2 years,,Data Scientist,Accounting/Finance,"1000-9,999 employees",3-4,We are exploring ML methods (and may one day put a model into production),$0-999,"$1000-$9,999",,Never
9494,254,30-34,Man,Argentina,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
9495,132,22-24,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
9496,264,30-34,Man,Russia,No,,,,,,,,,,,,,
9497,407,25-29,Man,United States of America,Yes,,5-10 years,3-4 years, Kaggle datasets ,,,,,,,,,
9498,123,18-21,Woman,India,Yes,,1-3 years,,,,,,,,,,,
9499,390,35-39,Man,India,No,,< 1 years,Under 1 year,,Currently not employed,,,,,,,,
9500,1061,50-54,Man,Other,No,Yes,1-3 years,2-3 years, Kaggle datasets ,Data Scientist,Academics/Education,"1000-9,999 employees",3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)",,,,
9501,302,22-24,Man,India,No,,5-10 years,1-2 years,,Currently not employed,,,,,,,,
9502,207,22-24,Man,India,Yes,,< 1 years,,,,,,,,,,,
9503,474,25-29,Man,Nigeria,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
9504,720,25-29,Man,India,No,No,3-5 years,2-3 years,,Data Scientist,Computers/Technology,50-249 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",$100-$999,They all had a similarly enjoyable developer experience,Never
9505,824,25-29,Man,Russia,Yes,No,3-5 years,1-2 years,,,,,,,,,,
9506,711,18-21,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
9507,399,35-39,Man,United States of America,No,No,3-5 years,3-4 years,,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","$1000-$9,999",,Never
9508,181,22-24,Woman,Turkey,Yes,Yes,1-3 years,2-3 years,,,,,,,,,,
9509,4379,22-24,Man,Bangladesh,Yes,,1-3 years,1-2 years, Huggingface Models ,,,,,,,,,
9510,239,18-21,Woman,Other,Yes,,I have never written code,,,,,,,,,,,
9511,550,18-21,Man,India,No,No,1-3 years,1-2 years, Kaggle datasets ,Other,Computers/Technology,"1000-9,999 employees",20+,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$0 ($USD),,
9512,1195,25-29,Woman,Chile,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
9513,737,30-34,Man,United States of America,No,Yes,1-3 years,Under 1 year,,Engineer (non-software),Other,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",$0 ($USD),,
9514,263,22-24,Man,Mexico,Yes,,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
9515,818,30-34,Man,United States of America,No,,10-20 years,Under 1 year,,Other,Computers/Technology,50-249 employees,3-4,No (we do not use ML methods),"150,000-199,999","$1000-$9,999",Other,Never
9516,637,30-34,Woman,Canada,No,Yes,10-20 years,5-10 years,,Machine Learning/ MLops Engineer,Computers/Technology,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","$10,000-$99,999",,Never
9517,326,30-34,Man,India,No,,I have never written code,,,Other,Other,"1000-9,999 employees",3-4,I do not know,"2,000-2,999",$1-$99,,
9518,614,30-34,Man,India,No,,< 1 years,Under 1 year,,Engineer (non-software),Manufacturing/Fabrication,"10,000 or more employees",0,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",$100-$999,,Never
9519,138,22-24,Woman,India,Yes,,I have never written code,,,,,,,,,,,
9520,292,25-29,Man,Spain,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
9521,454,25-29,Man,South Korea,No,Yes,5-10 years,4-5 years,,Machine Learning/ MLops Engineer,Computers/Technology,50-249 employees,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",$0 ($USD),,
9522,267,35-39,Man,Russia,Yes,,5-10 years,Under 1 year,,,,,,,,,,
9523,300,40-44,Man,United States of America,No,Yes,10-20 years,5-10 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Energy/Mining,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",,,,
9524,2090,30-34,Man,Brazil,No,Yes,20+ years,10-20 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Other,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","300,000-499,999","$1000-$9,999",They all had a similarly enjoyable developer experience,Never
9525,421,45-49,Man,Taiwan,No,Yes,1-3 years,1-2 years,,,,,,,,,,
9526,297,25-29,Man,India,No,No,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),,,,
9527,488,35-39,Woman,Spain,No,No,1-3 years,I do not use machine learning methods,,"Manager (Program, Project, Operations, Executive-level, etc)",Academics/Education,"1000-9,999 employees",15-19,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",$0 ($USD),,
